"Date","Price","Open","High","Low","Change %"
"10/01/2025","3.954","3.761","3.954","3.761","5.13%"
"09/01/2025","3.761","3.693","3.761","3.664","1.95%"
"08/01/2025","3.689","3.462","3.690","3.462","6.99%"
"07/01/2025","3.448","3.317","3.448","3.317","3.39%"
"06/01/2025","3.335","3.234","3.335","3.234","3.57%"
"05/01/2025","3.220","3.211","3.220","3.167","0.75%"
"04/01/2025","3.196","3.065","3.196","3.065","4.48%"
"03/01/2025","3.059","3.189","3.189","3.047","-3.77%"
"02/01/2025","3.179","3.120","3.231","3.104","2.32%"
"01/01/2025","3.107","3.108","3.206","3.092","-0.35%"
"12/01/2024","3.118","2.869","3.122","2.854","8.68%"
"11/01/2024","2.869","2.813","2.871","2.813","2.54%"
"10/01/2024","2.798","2.768","2.799","2.744","1.08%"
"09/01/2024","2.768","2.826","2.836","2.750","-2.19%"
"08/01/2024","2.830","2.903","2.903","2.813","-2.18%"
"07/01/2024","2.893","2.882","2.908","2.857","0.28%"
"06/01/2024","2.885","2.955","2.955","2.850","-2.14%"
"05/01/2024","2.948","2.928","3.035","2.852","1.66%"
"04/01/2024","2.900","2.753","2.940","2.753","5.57%"
"03/01/2024","2.747","2.461","2.747","2.402","11.58%"
"02/01/2024","2.462","2.413","2.462","2.378","1.65%"
"01/01/2024","2.422","2.399","2.428","2.297","1.21%"
"12/01/2023","2.393","2.488","2.499","2.319","-3.74%"
"11/01/2023","2.486","3.070","3.070","2.486","-18.94%"
"10/01/2023","3.067","2.858","3.253","2.858","8.07%"
"09/01/2023","2.838","2.743","2.838","2.694","4.45%"
"08/01/2023","2.717","2.565","2.751","2.497","6.09%"
"07/01/2023","2.561","2.747","2.914","2.537","-6.77%"
"06/01/2023","2.747","3.275","3.275","2.662","-15.99%"
"05/01/2023","3.270","3.363","3.363","3.093","-2.77%"
"04/01/2023","3.363","3.592","3.600","3.335","-3.06%"
"03/01/2023","3.469","4.542","4.595","3.469","-23.46%"
"02/01/2023","4.532","4.639","4.639","4.204","-2.31%"
"01/01/2023","4.639","5.041","5.041","4.639","-7.90%"
"12/01/2022","5.037","5.168","5.170","5.037","-2.46%"
"11/01/2022","5.164","5.194","5.209","5.129","-0.58%"
"10/01/2022","5.194","4.975","5.204","4.975","3.55%"
"09/01/2022","5.016","3.697","5.025","3.697","36.27%"
"08/01/2022","3.681","3.686","3.718","3.591","1.35%"
"07/01/2022","3.632","3.365","3.863","3.360","7.84%"
"06/01/2022","3.368","3.262","3.451","3.262","3.66%"
"05/01/2022","3.249","3.113","3.415","3.113","4.71%"
"04/01/2022","3.103","2.501","3.192","2.501","25.17%"
"03/01/2022","2.479","2.347","2.538","2.345","5.94%"
"02/01/2022","2.340","2.153","2.348","2.146","8.18%"
"01/01/2022","2.163","2.194","2.194","2.125","3.00%"
"12/01/2021","2.100","2.096","2.130","2.038","0.86%"
