"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"01/10/2025","3.761","3.761","3.761","3.761","0.00%"
"30/09/2025","3.761","3.761","3.761","3.761","0.00%"
"29/09/2025","3.761","3.759","3.761","3.759","0.05%"
"26/09/2025","3.759","3.759","3.759","3.759","0.24%"
"25/09/2025","3.750","3.750","3.750","3.750","1.16%"
"24/09/2025","3.707","3.707","3.707","3.707","0.00%"
"23/09/2025","3.707","3.707","3.707","3.707","0.00%"
"22/09/2025","3.707","3.703","3.707","3.703","0.08%"
"19/09/2025","3.704","3.697","3.704","3.697","0.19%"
"18/09/2025","3.697","3.689","3.697","3.689","0.22%"
"17/09/2025","3.689","3.690","3.690","3.689","-0.03%"
"16/09/2025","3.690","3.690","3.690","3.688","0.00%"
"15/09/2025","3.690","3.695","3.695","3.690","-0.14%"
"12/09/2025","3.695","3.689","3.695","3.689","0.16%"
"11/09/2025","3.689","3.680","3.689","3.680","0.24%"
"10/09/2025","3.680","3.680","3.680","3.680","0.27%"
"09/09/2025","3.670","3.664","3.670","3.664","0.16%"
"08/09/2025","3.664","3.664","3.664","3.664","0.00%"
"05/09/2025","3.664","3.693","3.693","3.664","-0.79%"
"04/09/2025","3.693","3.693","3.693","3.693","0.00%"
"03/09/2025","3.693","3.689","3.693","3.689","0.11%"
"02/09/2025","3.689","3.689","3.689","3.689","0.00%"
"01/09/2025","3.689","3.689","3.689","3.689","0.00%"
"29/08/2025","3.689","3.684","3.689","3.684","0.11%"
"28/08/2025","3.685","3.690","3.690","3.685","-0.14%"
"27/08/2025","3.690","3.689","3.690","3.689","0.03%"
"26/08/2025","3.689","3.676","3.689","3.676","0.35%"
"25/08/2025","3.676","3.672","3.676","3.672","0.11%"
"22/08/2025","3.672","3.619","3.672","3.619","1.46%"
"21/08/2025","3.619","3.561","3.619","3.561","1.63%"
"20/08/2025","3.561","3.561","3.561","3.561","-0.06%"
"19/08/2025","3.563","3.555","3.563","3.555","0.23%"
"18/08/2025","3.555","3.560","3.560","3.555","-0.14%"
"15/08/2025","3.560","3.551","3.560","3.551","0.25%"
"14/08/2025","3.551","3.503","3.551","3.503","1.37%"
"13/08/2025","3.503","3.497","3.503","3.497","0.17%"
"12/08/2025","3.497","3.496","3.497","3.496","0.03%"
"11/08/2025","3.496","3.492","3.496","3.492","0.11%"
"08/08/2025","3.492","3.503","3.503","3.492","-0.31%"
"07/08/2025","3.503","3.468","3.503","3.468","0.98%"
"06/08/2025","3.469","3.462","3.469","3.462","0.20%"
"05/08/2025","3.462","3.462","3.462","3.462","0.00%"
"04/08/2025","3.462","3.462","3.462","3.462","0.00%"
"01/08/2025","3.462","3.458","3.462","3.458","0.41%"
"31/07/2025","3.448","3.448","3.448","3.448","0.20%"
"30/07/2025","3.441","3.441","3.441","3.441","0.38%"
"29/07/2025","3.428","3.428","3.428","3.428","0.00%"
"28/07/2025","3.428","3.428","3.428","3.428","-0.17%"
"25/07/2025","3.434","3.434","3.434","3.434","-0.15%"
"24/07/2025","3.439","3.429","3.439","3.429","0.29%"
"23/07/2025","3.429","3.429","3.429","3.429","0.79%"
"22/07/2025","3.402","3.400","3.402","3.400","0.06%"
"21/07/2025","3.400","3.398","3.400","3.398","0.06%"
"18/07/2025","3.398","3.398","3.398","3.398","-0.12%"
"17/07/2025","3.402","3.359","3.402","3.359","1.28%"
"16/07/2025","3.359","3.351","3.359","3.351","0.21%"
"15/07/2025","3.352","3.350","3.352","3.350","0.06%"
"14/07/2025","3.350","3.352","3.352","3.350","-0.06%"
"11/07/2025","3.352","3.342","3.352","3.342","0.27%"
"10/07/2025","3.343","3.342","3.343","3.342","0.03%"
"09/07/2025","3.342","3.342","3.342","3.342","-0.03%"
"08/07/2025","3.343","3.342","3.343","3.342","0.03%"
"07/07/2025","3.342","3.344","3.344","3.342","-0.06%"
"04/07/2025","3.344","3.343","3.344","3.343","0.03%"
"03/07/2025","3.343","3.343","3.343","3.343","0.03%"
"02/07/2025","3.342","3.316","3.342","3.316","0.75%"
"01/07/2025","3.317","3.335","3.335","3.317","-0.54%"
"30/06/2025","3.335","3.323","3.335","3.323","0.36%"
"27/06/2025","3.323","3.305","3.323","3.305","0.54%"
"26/06/2025","3.305","3.310","3.310","3.305","-0.15%"
"25/06/2025","3.310","3.323","3.323","3.310","-0.39%"
"24/06/2025","3.323","3.315","3.323","3.315","0.24%"
"23/06/2025","3.315","3.307","3.315","3.307","0.24%"
"20/06/2025","3.307","3.289","3.307","3.289","0.52%"
"19/06/2025","3.290","3.285","3.290","3.285","0.15%"
"18/06/2025","3.285","3.285","3.285","3.285","0.24%"
