date,gold_price_vnd
2015-10-01,"₫25,025,910"
2015-10-02,"₫25,025,910"
2015-10-03,"₫25,589,520"
2015-10-04,"₫25,589,520"
2015-10-05,"₫25,589,520"
2015-10-06,"₫25,528,260"
2015-10-07,"₫25,762,600"
2015-10-08,"₫25,672,630"
2015-10-09,"₫25,304,060"
2015-10-10,"₫25,674,300"
2015-10-11,"₫25,674,300"
2015-10-12,"₫25,674,300"
2015-10-13,"₫26,019,000"
2015-10-14,"₫26,188,560"
2015-10-15,"₫26,543,680"
2015-10-16,"₫26,430,710"
2015-10-17,"₫26,232,570"
2015-10-18,"₫26,232,570"
2015-10-19,"₫26,232,570"
2015-10-20,"₫26,122,790"
2015-10-21,"₫26,268,420"
2015-10-22,"₫26,029,260"
2015-10-23,"₫25,982,300"
2015-10-24,"₫25,981,800"
2015-10-25,"₫25,981,800"
2015-10-26,"₫25,981,800"
2015-10-27,"₫25,994,410"
2015-10-28,"₫26,053,640"
2015-10-29,"₫25,814,620"
2015-10-30,"₫25,595,380"
2015-10-31,"₫25,515,650"
2015-11-01,"₫25,515,650"
2015-11-02,"₫25,515,650"
2015-11-03,"₫25,323,780"
2015-11-04,"₫24,939,810"
2015-11-05,"₫24,709,410"
2015-11-06,"₫24,630,120"
2015-11-07,"₫24,329,800"
2015-11-08,"₫24,329,800"
2015-11-09,"₫24,329,800"
2015-11-10,"₫24,466,390"
2015-11-11,"₫24,385,610"
2015-11-12,"₫24,385,610"
2015-11-13,"₫24,287,560"
2015-11-14,"₫24,255,960"
2015-11-15,"₫24,255,960"
2015-11-16,"₫24,255,960"
2015-11-17,"₫24,316,920"
2015-11-18,"₫24,038,790"
2015-11-19,"₫24,034,200"
2015-11-20,"₫24,213,000"
2015-11-21,"₫24,213,000"
2015-11-22,"₫24,213,000"
2015-11-23,"₫24,213,000"
2015-11-24,"₫24,026,320"
2015-11-25,"₫24,195,180"
2015-11-26,"₫24,100,810"
2015-11-27,"₫24,113,800"
2015-11-28,"₫23,788,680"
2015-11-29,"₫23,788,680"
2015-11-30,"₫23,788,680"
2015-12-01,"₫23,967,860"
2015-12-02,"₫24,042,940"
2015-12-03,"₫23,678,620"
2015-12-04,"₫23,916,580"
2015-12-05,"₫24,436,670"
2015-12-06,"₫24,436,670"
2015-12-07,"₫24,436,670"
2015-12-08,"₫24,112,940"
2015-12-09,"₫24,154,810"
2015-12-10,"₫24,114,300"
2015-12-11,"₫24,092,940"
2015-12-12,"₫24,238,130"
2015-12-13,"₫24,238,130"
2015-12-14,"₫24,238,130"
2015-12-15,"₫23,988,940"
2015-12-16,"₫23,922,370"
2015-12-17,"₫24,190,360"
2015-12-18,"₫23,667,040"
2015-12-19,"₫24,029,140"
2015-12-20,"₫24,029,140"
2015-12-21,"₫24,029,140"
2015-12-22,"₫24,307,970"
2015-12-23,"₫24,178,860"
2015-12-24,"₫24,104,740"
2015-12-25,"₫24,241,740"
