date,gold_price_vnd
2016-05-10,"₫28,233,120"
2016-05-11,"₫28,233,120"
2016-05-12,"₫28,233,120"
2016-05-13,"₫28,475,470"
2016-05-14,"₫28,423,570"
2016-05-15,"₫28,423,570"
2016-05-16,"₫28,423,570"
2016-05-17,"₫28,382,670"
2016-05-18,"₫28,547,700"
2016-05-19,"₫28,037,460"
2016-05-20,"₫27,992,910"
2016-05-21,"₫27,948,210"
2016-05-22,"₫27,948,210"
2016-05-23,"₫27,948,210"
2016-05-24,"₫27,876,480"
2016-05-25,"₫27,413,140"
2016-05-26,"₫27,363,480"
2016-05-27,"₫27,294,770"
2016-05-28,"₫27,137,160"
2016-05-29,"₫27,137,160"
2016-05-30,"₫27,137,160"
2016-05-31,"₫27,024,880"
2016-06-01,"₫27,207,210"
2016-06-02,"₫27,220,300"
2016-06-03,"₫27,161,640"
2016-06-04,"₫27,892,360"
2016-06-05,"₫27,892,360"
2016-06-06,"₫27,892,360"
2016-06-07,"₫27,857,120"
2016-06-08,"₫27,803,420"
2016-06-09,"₫28,248,940"
2016-06-10,"₫28,359,180"
